reviewer_row_id,paper_id,title,dataset_name,n_subjects,n_sessions,eeg_channels,sampling_rate_hz,emotion_model,class_labels,class_balance,preproc_in_cv,model_family,adaptation_method,target_data_used,target_labels_used,subject_independent,split_type,n_folds,cross_setting,train_val_test_separation,model_selection_strategy,metric,result_mean,result_sd,result_ci,per_subject_reported,statistical_test,mean_or_best,protocol_category,leakage_categories,risk_rating,risk_evidence,ambiguity_notes,include_meta,primary_result,verification_status,source_checked,reviewer_source_location,reviewer_notes,author_protocol_label,author_protocol_label_location,verified_protocol_from_methods,verified_protocol_evidence_location,protocol_label_match,protocol_mismatch_type,verified_subject_disjoint,target_access_verified,protocol_audit_decision,reviewer_protocol_confidence
HME-0048,EEG-0022,Region-aware Spatiotemporal Modeling with Collaborative Domain Generalization for Cross-Subject EEG Emotion Recognition (RSM-CoDG),SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,region-aware spatiotemporal modeling + collaborative domain generalization (RSM-CoDG),domain generalization (no target data; region-aware + multi-scale temporal),none,no,yes,LOSO (fully unseen target; domain generalization),15,cross-subject,subject-disjoint,unclear,accuracy,71.59,9.78,,no,none reported,mean,cross-subject domain generalization (inductive),none,low,"DG (no target data during training, fully unseen target). SEED 86.35/7.17.",,yes,no,verified,full-text,"Tables 2-5 (RSM-CoDG full: SEED 86.35/7.17, SEED-IV 71.59/9.78, SEED-V 62.77/8.86)",RSM-CoDG SEED-IV DG 71.59/9.78.,cross-subject / domain generalization,Abstract,domain generalization (inductive; no target data),Sec 'fully unseen target subject setting ... without requiring any target-domain data'; Table 5,match,,yes,none,pool-with-cross-subject,high
HME-0049,EEG-0022,Region-aware Spatiotemporal Modeling with Collaborative Domain Generalization for Cross-Subject EEG Emotion Recognition (RSM-CoDG),SEED-V,16,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/disgust/neutral (5),balanced,unclear,region-aware spatiotemporal modeling + collaborative domain generalization (RSM-CoDG),domain generalization (no target data; region-aware + multi-scale temporal),none,no,yes,LOSO (fully unseen target; domain generalization),15,cross-subject,subject-disjoint,unclear,accuracy,62.77,8.86,,no,none reported,mean,cross-subject domain generalization (inductive),none,low,"DG (no target data during training, fully unseen target). SEED 86.35/7.17.",,yes,no,verified,full-text,"Tables 2-5 (RSM-CoDG full: SEED 86.35/7.17, SEED-IV 71.59/9.78, SEED-V 62.77/8.86)",RSM-CoDG SEED-V DG 62.77/8.86.,cross-subject / domain generalization,Abstract,domain generalization (inductive; no target data),Sec 'fully unseen target subject setting ... without requiring any target-domain data'; Table 5,match,,yes,none,pool-with-cross-subject,high
HME-0050,EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,few-shot adapter + cross-view fusion (FACE),few-shot adapter (fine-tune on a few LABELED target samples) + cross-view fusion,"labeled target (few-shot, 10-shot)","yes (few-shot, ~8% labeled target)",yes,cross-subject few-shot (10-shot),15,cross-subject,subject-disjoint but fine-tunes on few labeled target,unclear,accuracy,95.36,3.03,,no,none reported,mean (10-shot),cross-subject FEW-SHOT (target labels),none (few-shot disclosed),moderate,FEW-SHOT: fine-tunes on a few LABELED target samples (10-shot). NOT pure UDA/LOSO; near-ceiling under few-shot. Disclosed.,"10-shot table values: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23. Abstract cites 96.72/95.95 (fuller variant).",yes,yes,verified,full-text,"Table II (FACE 10-shot: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23)",FACE SEED 10-shot 95.36/3.03 - FEW-SHOT (uses labeled target); flag. Abstract 96.72.,cross-subject few-shot,Title; Abstract,cross-subject FEW-SHOT (fine-tunes on few labeled target),Abstract '10-shot ... ~8% of the labeled target domain samples',partial-match,target-label-use-unstated,yes,target-labels,needs-adjudication,high
HME-0051,EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,few-shot adapter + cross-view fusion (FACE),few-shot adapter (fine-tune on a few LABELED target samples) + cross-view fusion,"labeled target (few-shot, 10-shot)","yes (few-shot, ~8% labeled target)",yes,cross-subject few-shot (10-shot),15,cross-subject,subject-disjoint but fine-tunes on few labeled target,unclear,accuracy,90.73,3.26,,no,none reported,mean (10-shot),cross-subject FEW-SHOT (target labels),none (few-shot disclosed),moderate,FEW-SHOT: fine-tunes on a few LABELED target samples (10-shot). NOT pure UDA/LOSO; near-ceiling under few-shot. Disclosed.,"10-shot table values: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23. Abstract cites 96.72/95.95 (fuller variant).",yes,no,verified,full-text,"Table II (FACE 10-shot: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23)",FACE SEED-IV 10-shot 90.73/3.26. Abstract 95.95.,cross-subject few-shot,Title; Abstract,cross-subject FEW-SHOT (fine-tunes on few labeled target),Abstract '10-shot ... ~8% of the labeled target domain samples',partial-match,target-label-use-unstated,yes,target-labels,needs-adjudication,high
HME-0052,EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,SEED-V,16,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/disgust/neutral (5),balanced,unclear,few-shot adapter + cross-view fusion (FACE),few-shot adapter (fine-tune on a few LABELED target samples) + cross-view fusion,"labeled target (few-shot, 10-shot)","yes (few-shot, ~8% labeled target)",yes,cross-subject few-shot (10-shot),15,cross-subject,subject-disjoint but fine-tunes on few labeled target,unclear,accuracy,94.63,2.23,,no,none reported,mean (10-shot),cross-subject FEW-SHOT (target labels),none (few-shot disclosed),moderate,FEW-SHOT: fine-tunes on a few LABELED target samples (10-shot). NOT pure UDA/LOSO; near-ceiling under few-shot. Disclosed.,"10-shot table values: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23. Abstract cites 96.72/95.95 (fuller variant).",yes,no,verified,full-text,"Table II (FACE 10-shot: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23)",FACE SEED-V 10-shot 94.63/2.23.,cross-subject few-shot,Title; Abstract,cross-subject FEW-SHOT (fine-tunes on few labeled target),Abstract '10-shot ... ~8% of the labeled target domain samples',partial-match,target-label-use-unstated,yes,target-labels,needs-adjudication,high
HME-0053,EEG-0058,Cross-Subject EEG Emotion Recognition Based on Interconnected Dynamic Domain Adaptation,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,"interconnected dynamic domain adaptation (IDDA, dynamic graph conv)",dynamic graph conv + dynamic DA + multi-source selection,unlabeled-target (transductive),no,yes,cross-subject (multi-source),15,cross-subject,subject-disjoint,unclear,accuracy,85.75,not reported,,no,none reported,mean,cross-subject transductive DA,none,low,Transductive DA (dynamic subdomain alignment); SEED 85.75.,,yes,yes,verified,full-text,"Abstract/results (IDDA SEED 85.75, SEED-IV 72.36)",IDDA SEED cross-subject 85.75 (ICASSP 2024).,cross-subject,Abstract,cross-subject transductive DA (unlabeled target),Abstract; results,match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0054,EEG-0058,Cross-Subject EEG Emotion Recognition Based on Interconnected Dynamic Domain Adaptation,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,"interconnected dynamic domain adaptation (IDDA, dynamic graph conv)",dynamic graph conv + dynamic DA + multi-source selection,unlabeled-target (transductive),no,yes,cross-subject (multi-source),15,cross-subject,subject-disjoint,unclear,accuracy,72.36,not reported,,no,none reported,mean,cross-subject transductive DA,none,low,Transductive DA (dynamic subdomain alignment); SEED 85.75.,,yes,no,verified,full-text,"Abstract/results (IDDA SEED 85.75, SEED-IV 72.36)",IDDA SEED-IV cross-subject 72.36.,cross-subject,Abstract,cross-subject transductive DA (unlabeled target),Abstract; results,match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0055,EEG-0059,An Adversarial Discriminative Temporal Convolutional Network for EEG-Based Cross-Domain Emotion Recognition,DEAP,32,1,32,128 (downsampled),dimensional,valence (binary),,unclear,adversarial discriminative temporal convolutional network (AD-TCN),adversarial discriminative DA (TCN encoder),unlabeled-target (transductive),no,yes,cross-subject,32,cross-subject,subject-disjoint,unclear,accuracy,64.33,7.06,,no,none reported,mean,cross-subject transductive DA,none,low,Transductive adversarial DA; realistic DEAP ~63-64%.,,yes,yes,verified,full-text,"Results (AD-TCN DEAP valence 64.33/7.06, arousal 63.25/4.62)",AD-TCN DEAP valence cross-subject 64.33/7.06. DREAMER also reported; cross-dataset 62.65/62.36.,cross-subject,Abstract,cross-subject transductive adversarial DA (unlabeled target),Results (32-subject avg acc/std),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0056,EEG-0059,An Adversarial Discriminative Temporal Convolutional Network for EEG-Based Cross-Domain Emotion Recognition,DEAP,32,1,32,128 (downsampled),dimensional,arousal (binary),,unclear,adversarial discriminative temporal convolutional network (AD-TCN),adversarial discriminative DA (TCN encoder),unlabeled-target (transductive),no,yes,cross-subject,32,cross-subject,subject-disjoint,unclear,accuracy,63.25,4.62,,no,none reported,mean,cross-subject transductive DA,none,low,Transductive adversarial DA; realistic DEAP ~63-64%.,,yes,no,verified,full-text,"Results (AD-TCN DEAP valence 64.33/7.06, arousal 63.25/4.62)",AD-TCN DEAP arousal cross-subject 63.25/4.62.,cross-subject,Abstract,cross-subject transductive adversarial DA (unlabeled target),Results (32-subject avg acc/std),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0057,EEG-0060,Enhancing EEG-Based Cross-Subject Emotion Recognition via Adaptive Source Joint Domain Adaptation,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,"adaptive source joint domain adaptation (ASJDA, multi-source)",unsupervised multi-source DA with adaptive source selection (JS divergence),unlabeled-target (transductive),no,yes,cross-subject single-session LOSO,15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,96.81,not verified (table not text-extractable),,no,paired t-test,mean,cross-subject transductive multi-source DA,none,moderate,Transductive MSDA (disclosed). NEAR-CEILING SEED 96.81-97.78% is at the high end for cross-subject; two LOSO protocols reported.,"Two protocols: single-session LOSO (SEED 96.81 session2) vs all-sessions LOSO (SEED 97.78, SEED-IV 91.67). result_sd not text-extractable from tables.",yes,yes,verified,full-text,Abstract; Table IV (LOSO),ASJDA SEED single-session LOSO (session 2 best) 96.81%. NEAR-CEILING flag.,cross-subject (LOSO),Abstract; Experiments,"cross-subject LOSO, transductive multi-source DA (unlabeled target)",Methods 'Cross-subject single-session / all-sessions leave-one-subject-out CV',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0058,EEG-0060,Enhancing EEG-Based Cross-Subject Emotion Recognition via Adaptive Source Joint Domain Adaptation,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,"adaptive source joint domain adaptation (ASJDA, multi-source)",unsupervised multi-source DA with adaptive source selection (JS divergence),unlabeled-target (transductive),no,yes,cross-subject single-session LOSO,15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,89.69,not verified (table not text-extractable),,no,paired t-test,mean,cross-subject transductive multi-source DA,none,moderate,Transductive MSDA (disclosed). NEAR-CEILING SEED 96.81-97.78% is at the high end for cross-subject; two LOSO protocols reported.,"Two protocols: single-session LOSO (SEED 96.81 session2) vs all-sessions LOSO (SEED 97.78, SEED-IV 91.67). result_sd not text-extractable from tables.",yes,no,verified,full-text,Abstract; Table IV (LOSO),ASJDA SEED-IV single-session LOSO 89.69%.,cross-subject (LOSO),Abstract; Experiments,"cross-subject LOSO, transductive multi-source DA (unlabeled target)",Methods 'Cross-subject single-session / all-sessions leave-one-subject-out CV',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0059,EEG-0060,Enhancing EEG-Based Cross-Subject Emotion Recognition via Adaptive Source Joint Domain Adaptation,DEAP,32,1,32,128 (downsampled),dimensional (valence/arousal),high/low (binary),near-balanced,unclear,"adaptive source joint domain adaptation (ASJDA, multi-source)",unsupervised multi-source DA with adaptive source selection (JS divergence),unlabeled-target (transductive),no,yes,cross-subject LOSO,32,cross-subject,subject-disjoint (LOSO),unclear,accuracy,69.31,not verified,,no,paired t-test,mean,cross-subject transductive multi-source DA,none,moderate,Transductive MSDA (disclosed). NEAR-CEILING SEED 96.81-97.78% is at the high end for cross-subject; two LOSO protocols reported.,"Two protocols: single-session LOSO (SEED 96.81 session2) vs all-sessions LOSO (SEED 97.78, SEED-IV 91.67). result_sd not text-extractable from tables.",yes,no,verified,full-text,Abstract; Table IV (LOSO),ASJDA DEAP cross-subject 69.31% (valence/arousal dims not separable from extracted text).,cross-subject (LOSO),Abstract; Experiments,"cross-subject LOSO, transductive multi-source DA (unlabeled target)",Methods 'Cross-subject single-session / all-sessions leave-one-subject-out CV',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0060,EEG-0060,Enhancing EEG-Based Cross-Subject Emotion Recognition via Adaptive Source Joint Domain Adaptation,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,"adaptive source joint domain adaptation (ASJDA, multi-source)",unsupervised multi-source DA with adaptive source selection (JS divergence),unlabeled-target (transductive),no,yes,cross-subject all-sessions LOSO,15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,97.78,not verified,,no,paired t-test,mean,cross-subject transductive multi-source DA,none,moderate,Transductive MSDA (disclosed). NEAR-CEILING SEED 96.81-97.78% is at the high end for cross-subject; two LOSO protocols reported.,"Two protocols: single-session LOSO (SEED 96.81 session2) vs all-sessions LOSO (SEED 97.78, SEED-IV 91.67). result_sd not text-extractable from tables.",yes,no,verified,full-text,Abstract; Table IV (LOSO),ASJDA SEED all-sessions LOSO 97.78% (alternative protocol; near-ceiling). SEED-IV all-sessions=91.67%.,cross-subject (LOSO),Abstract; Experiments,"cross-subject LOSO, transductive multi-source DA (unlabeled target)",Methods 'Cross-subject single-session / all-sessions leave-one-subject-out CV',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0061,EEG-0063,FDDGNet: An Information Bottleneck-Inspired Feature Disentanglement Network for Cross-Subject EEG-Based Emotion Recognition,AMIGOS,40,1,14,128,dimensional,binary (valence/arousal),,unclear,"feature disentanglement domain generalization network (FDDGNet, IB-inspired LSTM)",feature disentanglement domain generalization (no target data),none,no,yes,cross-subject (domain generalization; no target),,cross-subject,subject-disjoint,unclear,accuracy,74.66,5.30,,no,none reported,mean,cross-subject domain generalization (inductive),none,low,DG (no target data during training). AMIGOS 74.66/5.30 (as fraction 0.7466/0.0530).,,yes,yes,verified,full-text,Table 2 (AMIGOS 0.7466/0.0530); Table 3 DREAMER,FDDGNet AMIGOS DG 74.66/5.30 (0.7466/0.0530). Cross-dataset AMIGOS->DREAMER 61.02.,cross-subject / domain generalization,Abstract,domain generalization (inductive; no target data),Abstract 'domain generalization'; Sec 'without ... target domain data',match,,yes,none,pool-with-cross-subject,high
HME-0062,EEG-0063,FDDGNet: An Information Bottleneck-Inspired Feature Disentanglement Network for Cross-Subject EEG-Based Emotion Recognition,DREAMER,23,1,14,128,dimensional,binary (valence/arousal),,unclear,"feature disentanglement domain generalization network (FDDGNet, IB-inspired LSTM)",feature disentanglement domain generalization (no target data),none,no,yes,cross-subject (domain generalization; no target),,cross-subject,subject-disjoint,unclear,accuracy,not verified (Table 3; not text-extractable),not verified,,no,none reported,mean,cross-subject domain generalization (inductive),none,low,DG (no target data during training). AMIGOS 74.66/5.30 (as fraction 0.7466/0.0530).,,yes,no,verified,full-text,Table 2 (AMIGOS 0.7466/0.0530); Table 3 DREAMER,FDDGNet DREAMER DG - Table 3 value not text-extractable (FDDGNet leads); retrieve for meta.,cross-subject / domain generalization,Abstract,domain generalization (inductive; no target data),Abstract 'domain generalization'; Sec 'without ... target domain data',match,,yes,none,pool-with-cross-subject,high
HME-0063,EEG-0070,A Convolution and Attention-Based Conditional Adversarial Domain Adaptation Neural Network for Emotion Recognition Using EEG,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,convolution+attention conditional adversarial DA (CA2DANet),conditional adversarial DA (conv + attention),unlabeled-target (transductive),no,yes,cross-subject (subject-independent),15,cross-subject,subject-disjoint,unclear,accuracy,81.05,not reported,,no,none reported,mean,cross-subject transductive DA,none,low,Transductive conditional adversarial DA; SEED SI 81.05. Subject-dependent 96.29 excluded.,,yes,yes,verified,full-text,Results (CA2DANet SEED SI 81.05; SD 96.29 excluded),CA2DANet SEED SI 81.05. Subject-dependent 96.29 (excluded).,cross-subject,Abstract,cross-subject transductive conditional adversarial DA (unlabeled target),Results (subject-independent 81.05),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0064,EEG-0073,Bridge Graph Attention Based Graph Convolution Network with Multi-Scale Transformer for EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,bridge graph attention GCN + multi-scale transformer (BGAGCN-MT),none (SI-LOSO; not a DA method),none,no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,89.66,4.72,,no,none reported,mean,cross-subject LOSO (inductive),none,low,"LOSO subject-disjoint, no target access; plausible 89.66%",,yes,yes,verified,full-text,"Table II (subject-independent, all-bands 89.66/4.72)",BGAGCN-MT SEED SI-LOSO 89.66/4.72 (primary). SEED-IV SI 75.78. Subject-dependent SEED 96.82; DREAMER results are subject-dependent.,subject-independent,Abstract; Sec IV,LOSO subject-independent (inductive),Methods 'apply leave-one-subject-out cross-validation as in [16][67]',match,,yes,none,pool-with-cross-subject,high
HME-0065,EEG-0086,Cross-Subject EEG-Based Emotion Recognition Leveraging Multi-Source Domain Adaptation with Curriculum Learning Strategy,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,multi-source DA + curriculum learning (feature fusion),multi-source DA + curriculum (multi-armed bandit target-sample selection),unlabeled-target (transductive),no,yes,cross-subject (multi-source),15,cross-subject,subject-disjoint,unclear,accuracy,64.16,8.29,,no,none reported,mean,cross-subject transductive DA,none,low,"Transductive MSDA + curriculum. UNUSUALLY LOW SEED 64.16% (baselines also ~53-58% -> apparently a hard/raw-signal protocol, realistic).","SEED 64.16/8.29, DEAP-valence 62.99/5.72 - low vs typical SEED (baselines EEGNet 56.40, Conformer 58.64), suggesting a harder protocol.",yes,yes,verified,full-text,"Results (Ours: SEED 64.16/8.29, DEAP-valence 62.99/5.72)","Curriculum-MSDA SEED 64.16/8.29 (unusually low; hard protocol, baselines also low).",cross-subject,Abstract,cross-subject transductive multi-source DA + curriculum (unlabeled target selection),Results table (Ours),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0066,EEG-0086,Cross-Subject EEG-Based Emotion Recognition Leveraging Multi-Source Domain Adaptation with Curriculum Learning Strategy,DEAP,32,1,32,128 (downsampled),dimensional,valence (binary),,unclear,multi-source DA + curriculum learning (feature fusion),multi-source DA + curriculum (multi-armed bandit target-sample selection),unlabeled-target (transductive),no,yes,cross-subject (multi-source),15,cross-subject,subject-disjoint,unclear,accuracy,62.99,5.72,,no,none reported,mean,cross-subject transductive DA,none,low,"Transductive MSDA + curriculum. UNUSUALLY LOW SEED 64.16% (baselines also ~53-58% -> apparently a hard/raw-signal protocol, realistic).","SEED 64.16/8.29, DEAP-valence 62.99/5.72 - low vs typical SEED (baselines EEGNet 56.40, Conformer 58.64), suggesting a harder protocol.",yes,no,verified,full-text,"Results (Ours: SEED 64.16/8.29, DEAP-valence 62.99/5.72)",Curriculum-MSDA DEAP valence 62.99/5.72 (F1 59.94).,cross-subject,Abstract,cross-subject transductive multi-source DA + curriculum (unlabeled target selection),Results table (Ours),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0067,EEG-0087,Subject-Independent EEG Emotion Recognition Based on Genetically Optimized Projection Dictionary Pair Learning,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,genetically optimized projection dictionary pair learning (GA-PDPL),"none (projection dictionary learning + genetic optimization; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy,69.89,14.39,,no,none reported,mean,cross-subject subject-independent (inductive),none,low,"LOSO subject-disjoint, no target; realistic low (SEED 69.89, MPED 24.11).",,yes,yes,verified,full-text,"Table 4 (GA-PDPL SEED 69.89/14.39, MPED 24.11, GAMEEMO-2 64.34)",GA-PDPL SEED LOSO 69.89/14.39 (non-optimized PDPL 51.02). 2023 Brain Sciences.,subject-independent,Abstract,"LOSO subject-independent (inductive, dictionary learning)",Abstract 'leave-one-subject-out cross validation',match,,yes,none,pool-with-cross-subject,high
HME-0068,EEG-0087,Subject-Independent EEG Emotion Recognition Based on Genetically Optimized Projection Dictionary Pair Learning,MPED,23,1,62,1000,discrete/categorical,7 emotions,,unclear,genetically optimized projection dictionary pair learning (GA-PDPL),"none (projection dictionary learning + genetic optimization; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy,24.11,not verified (table ~24.87),,no,none reported,mean,cross-subject subject-independent (inductive),none,low,"LOSO subject-disjoint, no target; realistic low (SEED 69.89, MPED 24.11).",,yes,no,verified,full-text,"Table 4 (GA-PDPL SEED 69.89/14.39, MPED 24.11, GAMEEMO-2 64.34)",GA-PDPL MPED 7-class LOSO 24.11 (abstract; table 24.87).,subject-independent,Abstract,"LOSO subject-independent (inductive, dictionary learning)",Abstract 'leave-one-subject-out cross validation',match,,yes,none,pool-with-cross-subject,high
HME-0069,EEG-0087,Subject-Independent EEG Emotion Recognition Based on Genetically Optimized Projection Dictionary Pair Learning,GAMEEMO,28,1,14,128,dimensional,2-class,,unclear,genetically optimized projection dictionary pair learning (GA-PDPL),"none (projection dictionary learning + genetic optimization; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy,64.34,not verified,,no,none reported,mean,cross-subject subject-independent (inductive),none,low,"LOSO subject-disjoint, no target; realistic low (SEED 69.89, MPED 24.11).",,yes,no,verified,full-text,"Table 4 (GA-PDPL SEED 69.89/14.39, MPED 24.11, GAMEEMO-2 64.34)",GA-PDPL GAMEEMO 2-class LOSO 64.34 (4-class 49.01).,subject-independent,Abstract,"LOSO subject-independent (inductive, dictionary learning)",Abstract 'leave-one-subject-out cross validation',match,,yes,none,pool-with-cross-subject,high
HME-0070,EEG-0089,Multi-Scale Hyperbolic Contrastive Learning for Cross-Subject EEG Emotion Recognition (MSHCL),SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,multi-scale hyperbolic contrastive learning (MSHCL),contrastive subject-invariant (hyperbolic); no target data in training,none,no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),curvature tuned (c=0.1 SEED),accuracy,89.3,4.4,,no,none reported,mean,"cross-subject LOSO (contrastive, inductive)",none,low,"LOSO; contrastive representation, no target access; plausible 89.3%",,yes,yes,verified,full-text,Sec Results (SEED 89.3/4.4); Methods (LOSO),"MSHCL SEED 3-class LOSO 89.3/4.4 (primary). MPED 7-class 38.8/7.1; FACED binary 77.0/3.6, 9-class 45.7/3.4.",cross-subject,Title; Abstract,"LOSO cross-subject (contrastive, no target access)",Methods 'Leave-One-Subject-Out (LOSO) validation',match,,yes,none,pool-with-cross-subject,high
HME-0073,EEG-0104,STRAViT: Spatial-Temporal Feature-Reshaped Agent Vision Transformer for EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,agent vision transformer (STRAViT) + DE + functional connectivity,none (feature reshaping ViT; SI-LOSO),none,no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,87.2,5.7,,no,none reported,mean,cross-subject LOSO (inductive),none,low,"SI-LOSO subject-disjoint, no target access; plausible SI accuracy (SEED 87.2). Subject-dependent SEED 98.7 excluded.",,yes,yes,verified,full-text,"Table (Subject-Independent Settings): Ours SEED 87.2/5.7, SEED-IV 72.5/6.6",STRAViT SEED SI-LOSO 87.2/5.7. NOTE: EEG-0350 is the same STRAViT work (double-counting risk). SD SEED 98.7/3.0 excluded.,subject-independent (LOSO),Abstract; Experiments,LOSO subject-independent (inductive),Methods 'leave-one-subject-out (LOSO) cross-validation scheme',match,,yes,none,pool-with-cross-subject,high
HME-0074,EEG-0104,STRAViT: Spatial-Temporal Feature-Reshaped Agent Vision Transformer for EEG Emotion Recognition,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,agent vision transformer (STRAViT) + DE + functional connectivity,none (feature reshaping ViT; SI-LOSO),none,no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,72.5,6.6,,no,none reported,mean,cross-subject LOSO (inductive),none,low,"SI-LOSO subject-disjoint, no target access; plausible SI accuracy (SEED 87.2). Subject-dependent SEED 98.7 excluded.",,yes,no,verified,full-text,"Table (Subject-Independent Settings): Ours SEED 87.2/5.7, SEED-IV 72.5/6.6",STRAViT SEED-IV SI-LOSO 72.5/6.6. Same work as EEG-0350.,subject-independent (LOSO),Abstract; Experiments,LOSO subject-independent (inductive),Methods 'leave-one-subject-out (LOSO) cross-validation scheme',match,,yes,none,pool-with-cross-subject,high
HME-0075,EEG-0105,Multi-Scale Dynamic Temporal Network With Graph Matching Domain Adaptation for Cross-Subject EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,multi-scale dynamic temporal net + graph matching DA,"domain adaptation (graph matching, Chebyshev graph; aligns marginal+conditional)",unlabeled-target (transductive),no,yes,cross-subject single-session cross-validation,15,cross-subject,subject-disjoint,unclear,accuracy,94.69,5.16,,no,none reported,mean,cross-subject transductive DA (graph matching),none,moderate,Transductive DA (disclosed). SEED 94.69% is high; multiple protocols reported (one-to-one transfer 83.12).,"Three CV protocols: single-session (94.69/5.16), one-to-one transfer (83.12/9.63). Chose single-session as headline.",yes,yes,verified,full-text,Abstract & results (SEED 94.69/5.16 single-session),"MSDTN graph-matching DA. SEED single-session 94.69/5.16 (primary). DEAP valence 69.45/7.26, arousal 67.52/8.28.",cross-subject,Title; Abstract,"cross-subject single-session CV, transductive DA (unlabeled target)",Abstract 'three different cross-validation protocols',partial-match,metric-selection-or-best-run-reporting,yes,unlabeled-target-data,pool-with-cross-subject,moderate
HME-0076,EEG-0106,Cross-Subject and Cross-Session EEG Emotion Recognition Based on Multisource Structural Deep Clustering,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,multisource structural deep clustering (MSDC),multisource structural deep clustering (uses target structure),unlabeled-target (transductive),no,yes,cross-subject (multisource LOSO),15,cross-subject,subject-disjoint,unclear,accuracy,91.02,9.49,,no,none reported,mean,cross-subject transductive multisource DA,none,low,Transductive multisource DA (disclosed); plausible accuracies,"Table Ours values (SEED 91.02, SEED-IV 74.05) differ slightly from abstract (90.69/74.35).",yes,yes,verified,full-text,Comparison table (Ours: SEED cross-subject 91.02/9.49; SEED-IV 74.05/12.06),MSDC SEED cross-subject 91.02/9.49 (cross-session 95.58/5.39 excluded).,cross-subject / cross-session,Title; Abstract,cross-subject transductive multisource DA,Results table (Cross Subject column),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
