record_id,doi,year,venue,title,llm_decision_raw,llm_decision_mapped,llm_reason,reviewer_decision,reviewer_reason_code,reviewer_notes,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note,adjudicator_decision,adjudicator_reason_code,adjudicator_notes,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note
SCR-0492,10.1109/tbdata.2024.3489419,2025,IEEE Transactions on Big Data,AnesFormer: An End-to-End Framework for EEG-Based Anesthetic State Classification,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: anesthetic-state classification,,,,exclude,not-eeg-emotion,off-topic: anesthetic-state classification,,,
SCR-0493,10.1109/tbme,2024,,A Spatiotemporal Deep Learning Framework for Scalp EEG-Based Automated Pain  Assessment in Chil,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: pain assessment,,,,exclude,not-eeg-emotion,off-topic: pain assessment,,,
SCR-0496,10.1109/tbme.2025.3613730,2026,IEEE Transactions on Biomedical Engine,Self-Supervised Contrastive Pre-Training for EEG-Based Recognition via Cross Device Representat,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,cross-device EEG recognition; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,cross-device EEG recognition; construct unclear,,,
SCR-0501,10.1109/tcds.2020.2999337,2021,IEEE Transactions on Cognitive and Dev,A Novel Bi-Hemispheric Discrepancy Model for EEG Emotion Recognition,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0509,10.1109/tcds.2024.3391131,2024,IEEE Transactions on Cognitive and Dev,Minimizing EEG Human Interference: A Study of an Adaptive EEG Spatial Feature Extraction With D,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,adaptive EEG spatial feature; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,adaptive EEG spatial feature; construct unclear,,,
SCR-0513,10.1109/tcds.2025.3529669,2025,IEEE Transactions on Cognitive and Dev,TRANSIT-EEG—A Framework for Cross-Subject Classification With Subject Specific Adaptation,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,generic cross-subject classification,,,,unclear-needs-fulltext,unclear-needs-fulltext,generic cross-subject classification,,,
SCR-0515,10.1109/tcds.2025.3552124,2025,IEEE Transactions on Cognitive and Dev,Multimodal Discriminative Network for Emotion Recognition Across Individuals,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0520,10.1109/tcds.2026.3661567,2026,IEEE Transactions on Cognitive and Dev,Low-Dimensional Matrix Discriminant Analysis of EEG Network Connectivity on Riemannian Manifold,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,EEG connectivity (Riemannian); construct unclear,no,,leakage-aware (leave-one-trial-out to avoid temporal-correlation leakage),unclear-needs-fulltext,unclear-needs-fulltext,EEG connectivity (Riemannian); construct unclear,,,
SCR-0521,10.1109/tce.2023.3325317,2024,IEEE Transactions on Consumer Electron,DREAM: Deep Learning-Based Recognition of Emotions From Multiple Affective Modalities Using Con,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0528,10.1109/tcss.2024.3412074,2024,IEEE Transactions on Computational Soc,Dense Graph Convolutional With Joint Cross-Attention Network for Multimodal Emotion Recognition,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0529,10.1109/tcss.2024.3450717,2025,IEEE Transactions on Computational Soc,Semantic Disentangling for Audiovisual Induced Emotion,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,audiovisual induced emotion; EEG unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,audiovisual induced emotion; EEG unclear,,,
SCR-0536,10.1109/tcyb.2020.2987575,2021,IEEE Transactions on Cybernetics,Emotion Recognition From Multimodal Physiological Signals Using a Regularized Deep Fusion of Ke,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0537,10.1109/tcyb.2025.3550191,2025,IEEE Transactions on Cybernetics,AdamGraph: Adaptive Attention-Modulated Graph Network for EEG Emotion Recognition,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0539,10.1109/tetci.2023.3306253,2024,IEEE Transactions on Emerging Topics i,Towards Domain Generalization for ECG and EEG Classification: Algorithms and Benchmarks,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,ECG+EEG DG benchmark; not emotion-specific,,,,unclear-needs-fulltext,unclear-needs-fulltext,ECG+EEG DG benchmark; not emotion-specific,,,
SCR-0543,10.1109/thms.2019.2904615,2019,IEEE TRANSACTIONS ON HUMAN-MACHINE SYS,A Context-Supported Deep Learning Framework for Multimodal Brain Imaging Classification,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,multimodal brain imaging; modality unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,multimodal brain imaging; modality unclear,,,
SCR-0546,10.1109/tii.2025.3636892,2026,IEEE Transactions on Industrial Inform,Multimodal Feature Interaction and High-Quality Pseudolabel Generation With Self-Training for C,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0560,10.1109/tim.2025.3558792,2025,IEEE TRANSACTIONS ON INSTRUMENTATION A,A Temporal-Spatial Embedding and Dynamic Aggregation Network With Adaptive Weighting Spectrum f,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0563,10.1109/tmm.2021.3124080,2023,IEEE Transactions on Multimedia,CEAP-360VR: A Continuous Physiological and Behavioral Emotion Annotation Dataset for 360$^\circ,exclude,exclude,off-motionsickness,unclear-needs-fulltext,unclear-needs-fulltext,360VR annotation dataset; EEG unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,360VR annotation dataset; EEG unclear,,,
SCR-0566,10.1109/tmm.2025.3535344,2025,IEEE Transactions on Multimedia,DISD-Net: A Dynamic Interactive Network With Self-Distillation for Cross-Subject Multi-Modal Em,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0568,10.1109/tnnls,2016,,Brain Dynamics in Predicting Driving Fatigue Using a Recurrent Self-Evolving  Fuzzy Neural Netw,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: driving fatigue,,,,exclude,not-eeg-emotion,off-topic: driving fatigue,,,
SCR-0570,10.1109/tnnls.2022.3190448,2024,IEEE Transactions on Neural Networks a,Self-Supervised Learning for Electroencephalography,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,self-supervised EEG; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,self-supervised EEG; construct unclear,,,
SCR-0571,10.1109/tnnls.2024.3350085,2025,IEEE TRANSACTIONS ON NEURAL NETWORKS A,Deep Multiview Module Adaption Transfer Network for Subject-Specific EEG Recognition,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,subject-specific EEG recognition; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,subject-specific EEG recognition; construct unclear,,,
SCR-0576,10.1109/tnsre,2022,,EEGSym: Overcoming Inter-Subject Variability in Motor Imagery Based BCIs With  Deep Learning.,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: motor imagery,,,,exclude,not-eeg-emotion,off-topic: motor imagery,,,
SCR-0579,10.1109/tnsre.2021.3059429,2021,IEEE Transactions on Neural Systems an,Enhancing EEG-Based Classification of Depression Patients Using Spatial Information,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: depression detection,,,,exclude,not-eeg-emotion,off-topic: depression detection,,,
SCR-0581,10.1109/tnsre.2022.3166517,2022,IEEE Transactions on Neural Systems an,Inference of Brain States Under Anesthesia With Meta Learning Based Deep Learning Models,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: anesthesia brain states,,,,exclude,not-eeg-emotion,off-topic: anesthesia brain states,,,
SCR-0582,10.1109/tnsre.2022.3207494,2022,IEEE TRANSACTIONS ON NEURAL SYSTEMS AN,Multi-Source Decentralized Transfer for Privacy-Preserving BCIs,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,privacy-preserving BCIs; construct unclear,no,,NOTE full text is motor-imagery classification not emotion - off-topic (fails I1),unclear-needs-fulltext,unclear-needs-fulltext,privacy-preserving BCIs; construct unclear,,,
SCR-0583,10.1109/tnsre.2022.3230250,2023,IEEE TRANSACTIONS ON NEURAL SYSTEMS AN,EEG Conformer: Convolutional Transformer for EEG Decoding and Visualization,exclude,exclude,not-cross-subject,unclear-needs-fulltext,unclear-needs-fulltext,EEG Conformer; general decoding,,,,unclear-needs-fulltext,unclear-needs-fulltext,EEG Conformer; general decoding,,,
SCR-0588,10.1109/tnsre.2024.3445115,2024,IEEE Transactions on Neural Systems an,Online Privacy-Preserving EEG Classification by Source-Free Transfer Learning,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,source-free EEG; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,source-free EEG; construct unclear,,,
SCR-0596,10.1142/s0129065722500320,2022,,Epileptic Seizure Prediction Using Deep Neural Networks Via Transfer Learning  and Multi-Featur,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: seizure prediction,,,,exclude,not-eeg-emotion,off-topic: seizure prediction,,,
SCR-0600,10.1142/s0219519425400974,2025,JOURNAL OF MECHANICS IN MEDICINE AND B,A CNN-TRANSFORMER-BASED BRAIN-COMPUTER INTERFACE MODEL FOR DIGITAL ART THERAPY IN DEPRESSION IN,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: depression/art therapy,,,,exclude,not-eeg-emotion,off-topic: depression/art therapy,,,
SCR-0604,10.1145/3583885,2024,ACM TRANSACTIONS ON MULTIMEDIA COMPUTI,Unsupervised Domain Adaptation by Causal Learning for Biometric Signal-based HCI,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,biometric-signal HCI; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,biometric-signal HCI; construct unclear,,,
SCR-0605,10.1145/3666002,2024,ACM COMPUTING SURVEYS,Research Progress of EEG-Based Emotion Recognition: A Survey,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,non-primary-study,survey,,,,exclude,non-primary-study,survey,,,
SCR-0610,10.1155/2020/5046315,2020,,An Automatic Epilepsy Detection Method Based on Improved Inductive Transfer  Learning.,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: epilepsy detection,,,,exclude,not-eeg-emotion,off-topic: epilepsy detection,,,
SCR-0612,10.1155/int/9618884,2024,INTERNATIONAL JOURNAL OF INTELLIGENT S,Mind to Music: An EEG Signal-Driven Real-Time Emotional Music Generation System,exclude,exclude,not-cross-subject,unclear-needs-fulltext,unclear-needs-fulltext,emotional music generation system; verify recognition,,,,unclear-needs-fulltext,unclear-needs-fulltext,emotional music generation system; verify recognition,,,
SCR-0614,10.1166/jmihi.2021.3340,2021,JOURNAL OF MEDICAL IMAGING AND HEALTH ,Design and Implementation of Human-Computer Interaction Systems Based on Transfer Support Vecto,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,HCI transfer SVM; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,HCI transfer SVM; construct unclear,,,
SCR-0616,10.1177/15500594251366792,2025,CLINICAL EEG AND NEUROSCIENCE,Advanced Facial Expression Recognition Using Model Averaging Ensembles of Convolutional Neural ,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,not-eeg,facial-expression only,,,,exclude,not-eeg-emotion,facial-expression only,,,
SCR-0617,10.1186/s12911-017-0562-x,2017,BMC MEDICAL INFORMATICS AND DECISION M,Subject-independent emotion recognition based on physiological signals: a three-stage decision ,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0622,10.11999/jeit250424,2026,JOURNAL OF ELECTRONICS \& INFORMATION ,Bimodal Emotion Recognition Method Based on Dual-stream Attention and Adversarial Mutual Recons,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,non-english,Chinese-language journal,,,,exclude,non-english,Chinese-language journal,,,
SCR-0623,10.12263/dzxb.20250486,2025,Tien Tzu Hsueh Pao/Acta Electronica Si,Reconstructed Transfer Subspace Based Multi-View Domain Adaptation Method for Electroencephalog,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,non-english,Chinese-language journal (Acta Electronica Sinica),,,,exclude,non-english,Chinese-language journal (Acta Electronica Sinica),,,
SCR-0624,10.1371/journal.pone.0056624,2013,PLoS ONE,Collaborative Filtering for Brain-Computer Interaction Using Transfer Learning and Active Class,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,BCI collaborative filtering; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,BCI collaborative filtering; construct unclear,,,
SCR-0628,10.14445/23488549/ijece-v13i4p109,2026,SSRG International Journal of Electron,EvoCausal-PhysioNet: Lifelong Physiological Signal Recognition with Continual Causal Graph-Tran,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,lifelong physiological recognition; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,lifelong physiological recognition; construct unclear,,,
SCR-0629,10.1504/ijbet.2026.154168,2026,INTERNATIONAL JOURNAL OF BIOMEDICAL EN,"Real-time emotion detection from integrating electroencephalography, facial expressions and spe",exclude,exclude,nonprimary-review,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0635,10.24425/mms.2022.140030,2022,METROLOGY AND MEASUREMENT SYSTEMS,TRANSITION OF EMOTIONS FROM THE NEGATIVELY EXCITED STATE TO POSITIVE UNEXCITED STATE: AN ERP PE,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,ERP emotion-transition; recognition metric unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,ERP emotion-transition; recognition metric unclear,,,
SCR-0646,10.3389/fncom.2022.909553,2022,FRONTIERS IN COMPUTATIONAL NEUROSCIENC,A P300-Detection Method Based on Logistic Regression and a Convolutional Neural Network,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: P300 detection,,,,exclude,not-eeg-emotion,off-topic: P300 detection,,,
SCR-0650,10.3389/fnhum.2019.00054,2019,FRONTIERS IN HUMAN NEUROSCIENCE,Linking Emotional Reactivity Between Laboratory Tasks and Immersive Environments Using Behavior,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,emotional reactivity (behavioral); EEG unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,emotional reactivity (behavioral); EEG unclear,,,
SCR-0669,10.3389/fnins.2021.719869,2021,FRONTIERS IN NEUROSCIENCE,Relaxation Degree Analysis Using Frontal Electroencephalogram Under Virtual Reality Relaxation ,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,relaxation degree; borderline affective,,,,unclear-needs-fulltext,unclear-needs-fulltext,relaxation degree; borderline affective,,,
SCR-0671,10.3389/fnins.2022.1044631,2022,FRONTIERS IN NEUROSCIENCE,Dual attentive fusion for EEG-based brain-computer interfaces,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,dual attentive EEG BCIs; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,dual attentive EEG BCIs; construct unclear,,,
SCR-0688,10.3389/fpsyg.2022.833007,2022,FRONTIERS IN PSYCHOLOGY,Cross-Modal Transfer Learning From EEG to Functional Near-Infrared Spectroscopy for Classificat,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,EEG->fNIRS transfer; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,EEG->fNIRS transfer; construct unclear,,,
SCR-0697,10.3390/app11020674,2021,APPLIED SCIENCES-BASEL,A Novel Approach to EEG Speech Activity Detection with Visual Stimuli and Mobile BCI,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: speech-activity detection,,,,exclude,not-eeg-emotion,off-topic: speech-activity detection,,,
SCR-0699,10.3390/app132312832,2023,APPLIED SCIENCES-BASEL,A Fusion Framework for Confusion Analysis in Learning Based on EEG Signals,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: confusion analysis,,,,exclude,not-eeg-emotion,off-topic: confusion analysis,,,
SCR-0724,10.3390/electronics8091039,2019,ELECTRONICS,Anxiety Level Recognition for Virtual Reality Therapy System Using Physiological Signals,exclude,exclude,off-stress,unclear-needs-fulltext,unclear-needs-fulltext,anxiety via physiological; modality unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,anxiety via physiological; modality unclear,,,
SCR-0726,10.3390/fractalfract9090585,2025,FRACTAL AND FRACTIONAL,A Blind Few-Shot Learning for Multimodal-Biological Signals with Fractal Dimension Estimation,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,multimodal biological few-shot; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,multimodal biological few-shot; construct unclear,,,
SCR-0732,10.3390/math14081348,2026,MATHEMATICS,MSResBiMamba: A Deep Cascaded Architecture for EEG Signal Decoding,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,generic EEG signal decoding,,,,unclear-needs-fulltext,unclear-needs-fulltext,generic EEG signal decoding,,,
SCR-0744,10.3390/s22062241,2022,,An Unsupervised Deep-Transfer-Learning-Based Motor Imagery EEG Classification  Scheme for Brain,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: motor imagery,,,,exclude,not-eeg-emotion,off-topic: motor imagery,,,
SCR-0750,10.3390/s24237690,2024,,An Empirical Model-Based Algorithm for Removing Motion-Caused Artifacts in Motor  Imagery EEG D,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: motor imagery artifact removal,,,,exclude,not-eeg-emotion,off-topic: motor imagery artifact removal,,,
SCR-0752,10.3390/s25164989,2025,,Integrating Cortical Source Reconstruction and Adversarial Learning for EEG  Classification.,exclude,exclude,off-depression,unclear-needs-fulltext,unclear-needs-fulltext,cortical-source EEG classification; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,cortical-source EEG classification; construct unclear,,,
SCR-0755,10.3390/s26031074,2026,SENSORS,Decoding Non-Invasive Electroencephalography Signal via a Two-Discriminator Adversarial Network,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,EEG decoding adversarial; construct unclear,no,,full text confirms EMOTION recognition (was unclear at screening); Europe PMC (PMC12900132),unclear-needs-fulltext,unclear-needs-fulltext,EEG decoding adversarial; construct unclear,,,
SCR-0769,10.4114/intartif.vol28iss75pp170-185,2025,INTELIGENCIA ARTIFICIAL-IBEROAMERICAN ,Recurrence Quantification Analysis (RQA) Features vs. Traditional EEG Features for Alzheimer's ,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: Alzheimer's,,,,exclude,not-eeg-emotion,off-topic: Alzheimer's,,,
SCR-0775,,2023,Journal of the Balkan Tribological Ass,IMPROVING ACCURACY IN EMOTION CLASSIFICATION USING GAME THEORY AND MULTI-PHYSIOLOGICAL SIGNALS,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,multi-physiological emotion; EEG unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,multi-physiological emotion; EEG unclear,,,
SCR-0777,,2015,International Journal of Computers and,CMAC-based computational model of affects (CCMA) from self-organizing feature mapping weights f,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,computational model of affect; modality unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,computational model of affect; modality unclear,,,
